curve,threshold,fpr,tpr,recall,precision
ROC,0.8962868089691607,0.0027174786943238464,0.10536895001322401,,
ROC,0.895109871521701,0.0027657179610869917,0.1066120074054483,,
ROC,0.8941927441184694,0.002846116739025567,0.10780216873842899,,
ROC,0.8933640006967146,0.0029265155169641423,0.10899233007140968,,
ROC,0.8920744537377816,0.0030069142949027176,0.11018249140439038,,
ROC,0.8907432911284745,0.003167711850779868,0.1112404125892621,,
ROC,0.8893793881682289,0.003312429651069304,0.11232478180375562,,
ROC,0.8881902321199275,0.0034732272069464545,0.11338270298862735,,
ROC,0.8870063779721035,0.003634024762823605,0.11444062417349908,,
ROC,0.8856805104299966,0.0037305032963498956,0.11560433747685797,,
ROC,0.8842793338229774,0.003843061585463901,0.11674160275059509,,
ROC,0.8831069968356742,0.0039716996301656215,0.1178524199947104,,
ROC,0.8817093216744595,0.004052098408104197,0.11904258132769109,,
ROC,0.8805812453986642,0.004196816208393632,0.12012695054218461,,
ROC,0.8794317100477744,0.004261135230744493,0.1213435599047871,,
ROC,0.8778559435597485,0.004373693519858498,0.1224808251785242,,
ROC,0.8765214745012343,0.004421932786621644,0.12372388257074848,,
ROC,0.8748136836675712,0.004502331564560219,0.12491404390372918,,
ROC,0.8730289685200637,0.0045988100980865095,0.12607775720708808,,
ROC,0.8711689688184965,0.00472744814278823,0.12718857445120338,,
ROC,0.869244923185422,0.004807846920726805,0.12837873578418407,,
ROC,0.8675082667135162,0.004840006431902235,0.12964824120603016,,
ROC,0.8658146649758705,0.004904325454253095,0.13086485056863265,,
ROC,0.8644383133480719,0.005049043254542531,0.13194921978312615,,
ROC,0.8628265766297648,0.005113362276893391,0.13316582914572864,,
ROC,0.8614622056783174,0.005209840810419681,0.13432954244908754,,
ROC,0.8598374626638047,0.005242000321595112,0.1355990478709336,,
ROC,0.8582756077489812,0.0053545586107091175,0.13673631314467072,,
ROC,0.8567654493039215,0.005483196655410838,0.13784713038878604,,
ROC,0.8550720858262546,0.0056600739668757035,0.13887860354403597,,
ROC,0.8533372266189574,0.005772632255989709,0.1400158688177731,,
ROC,0.8519750714515864,0.005949509567454575,0.14104734197302302,,
ROC,0.8506042641114246,0.00606206785656858,0.1421846072467601,,
ROC,0.849615405033632,0.006206785656858016,0.14326897646125364,,
ROC,0.8485954406231304,0.0063515034571474515,0.14435334567574715,,
ROC,0.8476983960677764,0.006512301013024602,0.1454112668606189,,
ROC,0.8465885203714686,0.006576620035375462,0.14662787622322138,,
ROC,0.8453146737310351,0.006705258080077183,0.14773869346733667,,
ROC,0.8436517502311326,0.006833896124778903,0.148849510711452,,
ROC,0.8421809752525694,0.007010773436243769,0.14988098386670193,,
ROC,0.8406484091334032,0.007091172214182344,0.1510975932293044,,
ROC,0.8393585133793882,0.00726804952564721,0.15212906638455434,,
ROC,0.8378061042523562,0.007444926837112076,0.1531605395398043,,
ROC,0.8359943377876129,0.007621804148576942,0.15419201269505423,,
ROC,0.8343769338478194,0.007734362437690947,0.1553292779687913,,
ROC,0.8327872761555455,0.007846920726804953,0.15646654324252843,,
ROC,0.8313368191893873,0.007991638527094388,0.15755091245702196,,
ROC,0.8299353783643074,0.008039877793857533,0.15879396984924624,,
ROC,0.8286237369000702,0.008200675349734683,0.15985189103411795,,
ROC,0.8266826904325668,0.008297153883260975,0.16101560433747686,,
ROC,0.8250183843972764,0.00837755266119955,0.16220576567045755,,
ROC,0.8233082061972695,0.00847403119472584,0.16336947897381646,,
ROC,0.8210974654473836,0.008586589483839845,0.16450674424755354,,
ROC,0.8191651574959252,0.008731307284129282,0.16559111346204708,,
ROC,0.8174330947423968,0.008827785817655571,0.16675482676540598,,
ROC,0.8159703036077433,0.009004663129120438,0.1677862999206559,,
ROC,0.8140886655456407,0.009213699951760733,0.16876487701666226,,
ROC,0.8126805879009154,0.009310178485287023,0.16992859032002117,,
ROC,0.8115162883271472,0.00958353433027818,0.17080137529754033,,
ROC,0.8100926751762005,0.009728252130567615,0.17188574451203387,,
ROC,0.808854597876807,0.00980865090850619,0.17307590584501453,,
ROC,0.807775922251707,0.009985528219971056,0.1741073790002645,,
ROC,0.8064600371384751,0.010082006753497347,0.1752710923036234,,
ROC,0.8054951841359044,0.010307123331725359,0.17622322137000793,,
ROC,0.804340354070578,0.010451841132014793,0.17730759058450146,,
ROC,0.8031754175054296,0.010676957710242805,0.17825971965088602,,
ROC,0.8020107725090354,0.010869914777295386,0.17926474477651416,,
ROC,0.8004253671649605,0.011030712333172536,0.18032266596138588,,
ROC,0.7989327979236465,0.011207589644637401,0.1813541391166358,,
ROC,0.7975312393661621,0.011416626467277697,0.18233271621264216,,
ROC,0.7960027791692016,0.011577424023154847,0.18339063739751388,,
ROC,0.7944945503634656,0.011738221579032,0.18444855858238562,,
ROC,0.7925294006273599,0.011947258401672295,0.18542713567839195,,
ROC,0.7911523742403923,0.01218845473548802,0.18635281671515472,,
ROC,0.789657790180789,0.012349252291365171,0.18741073790002644,,
ROC,0.7878977696738149,0.012558289114005467,0.1883893149960328,,
ROC,0.7864115704579602,0.012670847403119473,0.1895265802697699,,
ROC,0.7848947164216026,0.012783405692233478,0.19066384554350702,,
ROC,0.7829364077453691,0.01300852227046149,0.19161597460989158,,
ROC,0.7818090719462804,0.013201479337514069,0.19262099973551972,,
ROC,0.7805796365071418,0.013314037626628075,0.1937582650092568,,
ROC,0.7790406447088634,0.013474835182505225,0.19484263422375034,,
ROC,0.776645415204202,0.013651712493970092,0.19587410737900027,,
ROC,0.7752595370045496,0.013844669561022673,0.1968791325046284,,
ROC,0.7738043523940691,0.014021546872487538,0.19791060565987834,,
ROC,0.7726542032068351,0.014198424183952403,0.19894207881512826,,
ROC,0.771176993391845,0.01434314198424184,0.2000264480296218,,
ROC,0.7698190168003293,0.014520019295706706,0.20105792118487173,,
ROC,0.7684244094765103,0.014712976362759285,0.20206294631049987,,
ROC,0.7670860939773547,0.014922013185399582,0.20304152340650622,,
ROC,0.7658458235366924,0.015147129763627592,0.20399365247289078,,
ROC,0.7647124281531043,0.01535616658626789,0.20497222956889713,,
ROC,0.7632007339072358,0.015549123653320469,0.20597725469452527,,
ROC,0.7618423407074588,0.015726000964785335,0.2070087278497752,,
ROC,0.7602695954836831,0.015967197298601063,0.20793440888653794,,
ROC,0.7588232006787541,0.016240553143592216,0.20880719386405713,,
ROC,0.7570961378976452,0.016417430455057083,0.20983866701930706,,
ROC,0.7553348565305328,0.01659430776652195,0.210870140174557,,
ROC,0.7540317482601805,0.01672294581122367,0.21198095741867232,,
ROC,0.7524407464548082,0.01691590287827625,0.21298598254430046,,
ROC,0.7510583975619056,0.017157099212091974,0.2139116635810632,,
ROC,0.7496390397001722,0.01731789676796913,0.21496958476593495,,
ROC,0.7479860821227808,0.01757517285737257,0.2158688177730759,,
ROC,0.7463824809100709,0.01783244894677601,0.21676805078021688,,
ROC,0.7451458725399879,0.01812188454735488,0.21761438772811426,,
ROC,0.7432025497681809,0.01831484161440746,0.2186194128537424,,
ROC,0.7418366429125365,0.01847563917028461,0.2196773340386141,,
ROC,0.740461049684735,0.018652516481749478,0.22070880719386407,,
ROC,0.7390558984510897,0.018861553304389773,0.2216873842898704,,
ROC,0.738026357137683,0.019118829393793214,0.22258661729701137,,
ROC,0.7369190108204141,0.01932786621643351,0.22356519439301772,,
ROC,0.7358846802127004,0.019504743527898376,0.22459666754826765,,
ROC,0.7346025644184757,0.01964946132818781,0.22568103676276116,,
ROC,0.7331368710596542,0.019890657662003538,0.22660671779952393,,
ROC,0.7321757648221657,0.02011577424023155,0.2275588468659085,,
ROC,0.731016905197438,0.02030873130728413,0.22856387199153663,,
ROC,0.7297812363775199,0.020517768129924424,0.22954244908754298,,
ROC,0.7284863820042905,0.020775044219327868,0.23044168209468394,,
ROC,0.7275484423230929,0.020968001286380447,0.23144670722031208,,
ROC,0.7261192119090386,0.021144878597845314,0.23247818037556203,,
ROC,0.724796185499149,0.021337835664897893,0.23348320550119017,,
ROC,0.7233137143677628,0.021530792731950476,0.2345146786564401,,
ROC,0.7214520138142547,0.021755909310178484,0.23546680772282466,,
ROC,0.7198064574699449,0.02193278662164335,0.2364982808780746,,
ROC,0.718550070567021,0.022109663933108217,0.23752975403332452,,
ROC,0.717176070436882,0.022366940022511658,0.23842898704046547,,
ROC,0.7157846802518776,0.022608136356327385,0.23935466807722824,,
ROC,0.7143017239790963,0.02281717317896768,0.2403332451732346,,
ROC,0.7124592262896996,0.02301013024602026,0.24133827029886273,,
ROC,0.710940804659627,0.023363884868949993,0.24207881512827295,,
ROC,0.7095684551364714,0.02357292169159029,0.2430573922242793,,
ROC,0.7081962873128341,0.023862357292169158,0.24390372917217668,,
ROC,0.7069523059804819,0.024135713137160314,0.24477651414969584,,
ROC,0.705520285517542,0.02440906898215147,0.24564929912721503,,
ROC,0.7045923190562974,0.024585946293616337,0.24668077228246496,,
ROC,0.7033494987990498,0.02481106287184435,0.24763290134884952,,
ROC,0.7021992686805058,0.025052259205660073,0.24855858238561226,,
ROC,0.7009566936855623,0.025277375783888084,0.24951071145199682,,
ROC,0.6998414365111169,0.025518572117703812,0.2504363924887596,,
ROC,0.6988134876315915,0.025743688695931823,0.25138852155514413,,
ROC,0.6976873861354742,0.025984885029747547,0.2523142025919069,,
ROC,0.6964251607506362,0.02627432063032642,0.2531605395398043,,
ROC,0.6951285031340798,0.026515516964142144,0.25408622057656705,,
ROC,0.6941365754339943,0.026740633542370155,0.2550383496429516,,
ROC,0.6930623995220336,0.02704614889853674,0.2558582385612272,,
ROC,0.6919314807268458,0.027335584499115613,0.25670457550912457,,
ROC,0.6906628967145204,0.027592860588519053,0.2576038085162655,,
